State,Mineral,Year,Quantity,Value_Cr
Gujarat,Sulphur,2020,100952,0
Haryana,Sulphur,2020,190946,0
Kerala,Sulphur,2020,33288,0
Maharashtra,Sulphur,2020,48991,0
Odisha,Sulphur,2020,86734,0
Uttar Pradesh,Sulphur,2020,46618,0
West Bengal,Sulphur,2020,38580,0
India,Vermiculite,2020,9042,8162
Andhra Pradesh,Vermiculite,2020,7225,2441
Rajasthan,Vermiculite,2020,127,127
Tamil Nadu,Vermiculite,2020,1690,5594
India,Wollastonite,2020,166186,158823
Rajasthan,Wollastonite,2020,166186,158823
Rajasthan,Lithium,2020,268047,9669267
India,Bauxite,2021,22312681,15020673
Chhattisgarh,Bauxite,2021,2558453,2053953
Goa,Bauxite,2021,4378,876
Gujarat,Bauxite,2021,3101577,1598056
Jharkhand,Bauxite,2021,2590720,2142293
Karnataka,Bauxite,2021,0,0
Madhya Pradesh,Bauxite,2021,581391,454848
Maharashtra,Bauxite,2021,2028422,970673
Odisha,Bauxite,2021,11447740,7799974
Tamil Nadu,Bauxite,2021,0,0
India,Chromite,2021,3480928,32109182
Karnataka,Chromite,2021,0,0
Maharashtra,Chromite,2021,17,82
Odisha,Chromite,2021,3480911,32109100
Jharkhand,Copper Ores & Conc,2021,183772,173106
Madhya Pradesh,Copper Ores & Conc,2021,2414514,3522250
Rajasthan,Copper Ores & Conc,2021,1222423,4047407
Jharkhand,Gold Ore,2021,4618,0
Karnataka,Gold Ore,2021,545077,0
India,Gold,2021,1648,4763056
Jharkhand,Gold,2021,8,24986
Karnataka,Gold,2021,1640,4738070
India,Iron Ore,2021,200955,342628915
Andhra Pradesh,Iron Ore,2021,680,417688
Chhattisgarh,Iron Ore,2021,34546,81490207
Goa,Iron Ore,2021,8040,10965978
Jharkhand,Iron Ore,2021,21848,17786135
Karnataka,Iron Ore,2021,28724,70398115
Madhya Pradesh,Iron Ore,2021,2679,1265424
Maharashtra,Iron Ore,2021,940,1201680
Odisha,Iron Ore,2021,102177,155456128
Rajasthan,Iron Ore,2021,1317,3646154
Telangana,Iron Ore,2021,4,1406
India,Lead & Zinc Ore,2021,12613866,0
Rajasthan,Lead & Zinc Ore,2021,12613866,0
India,Lead Conc.,2021,306399,11429378
Rajasthan,Lead Conc.,2021,306399,11429378
India,Zinc Conc.,2021,1539655,49799283
Rajasthan,Zinc Conc.,2021,1539655,49799283
